name, job, salary, localtion, education, exp, discription
西安丝路软件有限责任公司, C++软件工程师, 10-24万, 西安-雁塔区, 大专及以上, 2年工作经验, 任职要求： 1、至少2年以上C++开发经验，其中Windows平台VC++2年经验。 2、熟悉VC++界面开发，熟练使用MFC、Windows SDK开发技术。 3、熟悉Windows消息机制、多线程、进程间通信、Socket等开发技术；具有良好的编程习惯。 4、熟悉Labview开发、有硬件基础者优先考虑。 5、性格开朗、善于沟通。
北京北信源软件股份有限公司西安分公司, Linux C 高级工程师, 面议, 西安, 本科及以上, 3年工作经验, 职位描述：  1.各类网络安全设备软件系统的架构设计、模块设计开发和系统集成； 2.模块代码编写和维护、单元测试、技术文档编写； 3.团队成员技术培训，工作责任心强，性格开朗，善于沟通，工作细心，做事有条理，善于在工作中学习总结。 4.计算机相关专业毕业，善于钻研新技术，对新技术有较强的好奇心，有做过开源框架者优先考虑。 5.具备良好的文档编写规范，能书写需求文档和模块设计文档。  岗位要求:  1.计算机类相关专业本科或以上学历，四年以上工作经验，主持2个以上项目的设计和开发； 2.精通linux系统平台下C/C++软件开发，熟练掌握数据结构和算法，熟悉Linux内核及开发； 3. 熟悉软件工程原理，具有软件质量意识； 4.熟悉TCP/IP网络编程等主要网络协议，交换，路由等报文转发原理，熟悉应用层协议，及协议分析； 5.熟悉ICMP，ARP，SNMP等网络发现协议； 6.熟悉Vlan，nat网络打洞技术，并具备shell脚本编写能力，有一定的代码架构能力； 7. 熟悉网络安全协议及路由器、交换机、防火墙等安全设备； 8. 具有较强的事业心、责任感以及良好的沟通表达能力和团队协作精神； 9.有网络安全系统开发经验者可优先考虑
思特沃克软件技术有限公司, Java/Ruby/C# 应用软件开发工程师, 面议, 西安, 学历不限, 经验不限, 你是否常常纠结于兴趣与职业发展如何取舍？或者根本不清楚应该怎么发展属于你的职业生涯？  你是否喜欢编程但又不敢确定编程这条路究竟能走多远？  如果你也同样的热爱代码如生命，喜欢有事没事就记录和分享自己的思考与实践，希望远离办公室政治，追求公平合理，追求成为一名优秀的程序猿，攻城狮。那无容置疑ThoughtWorks绝对适合你！  作为一家企业，ThoughtWorks不仅关注盈利，更不断追求世界领先的软件技术，并且凭借我们的技术与热情为世界的公平与正义做出贡献。  加入ThoughtWorks. 你将和一群Geeks(极客)在编码中一较高下！ 加入 ThoughtWorks.你将和世界顶尖的咨询师一起，享受在帮助客户解决棘手问题之后的快感！ 加入ThoughtWorks. 你将在不同国家、不同项目、不同技术中快速成长！ 加入ThoughtWorks. 你将与中国最优秀的技术社区领导者并肩作战！  加入ThoughtWorks. 你将有机会用自己的智慧和专业的技术能力帮助弱者！  不足的技术经验、不流利的英语，都不是阻止你成为ThoughtWorker与成长的关键。你积极上进的学习态度与能力将是你不断进取、融入ThoughtWorks的最好动力！ ThoughtWorks，一个牛人辈出、业界领先、关注社会平等的IT咨询公司，真诚邀请你的加入！   ThoughtWorks isn’t your average company. so we don’t hire average people.  We hire only the most talented. passionate people. Talented. driven and principled people who are passionate about software. brought together because they want to do something amazing. Amazing work for our clients is the front line. revolutionizing the way the industry works is a gradual effect. improving society through software is our long term goal.  Working with us you'll get to: • Join a global technology consultancy that wants to change the world • Introduce. use and grow agile development practices on a project. including continuous integration (Go. Jenkins etc) and behavior or test driven development practices (TDD) • Work on custom-designed. multi-tier. business applications that use the very latest technologies to build scalable and critical systems • Contribute and collaborate throughout the software development life cycle • Coach. mentor and generally spread the word about best practices in software development inside and outside ThoughtWorks community • Be part of an open and non-hierarchical environment where everyone is expected to speak up and collaborate in project and organizational directions • Work with an amazingly talented and diverse bunch of people from all around the world  To be considered for a role with us. you'll bring the following: • Passion about coding. Your idea of fun is probably to write an app in your spare time. be it a web 2.0 app or a shiny new framework to bring more fun to your daily activities • Development and delivery experience with Java. .NET. Ruby. iOS. or Android. Expect to show us a bit of your talent • Analysis. design. coding and implementation of large-scale custom-built OO applications • Keen to work collaboratively with intelligent people. sharing your ideas to solve real business problems • Strong communication skills with the ability to work in a consulting environment and build relationships  And we will really value if you have: • Strong knowledge of design patterns. refactoring and unit testing • Experience working with Agile methods. including Extreme Programming (XP). Scrum and/or Kanban • Experience with picking and applying good software practices like test driven development (TDD). continuous integration and continuous delivery • Active participation in the professional community as a speaker. author or online contributor
西安西拓电气股份有限公司, C#/.NET中级开发工程师, 7-14万, 西安, 本科及以上, 3年工作经验, 岗位职责： 1、具有较好的业务理解能力，并充分利用丰富的开发技术解决业务问题； 2、负责功能分析、详细设计、编码工作； 3、确保所负责的模块质量及进度； 4、具备良好的沟通能力，向项目负责人汇报工作进度。 任职要求： 1、计算机、工业设计及电气自动化相关专业本科以上学历，Windows平台开发从业经验2年以上，5年以上相关工作经验； 2、熟练使用C#、.NET框架，了解设计模式、IOC等技术，熟练使用Microsoft SQL Server等数据库，有WPF 、XAML、Azure、Docker开发经验者优先； 5、对软件工程周期模型有较深刻理解，有敏捷开发或者迭代开发工作经验尤佳； 6、具有良好的编码习惯，能够按照软件管理规范进行开发和文档编写； 7、良好的沟通能力与团队协作能力，良好的职业道德及敬业精神； 8、快速、良好的学习能力，能迅速学习各种新技术，并且在项目中运用。
北京北信源软件股份有限公司西安分公司, C++ 中级工程师, 7-10万, 西安, 本科及以上, 2年工作经验, 职位描述： 模块代码编写和维护、单元测试、技术文档编写。 任职要求： 1. 计算机类相关专业本科或以上学历，1-3年工作经验； 2. 精通C/C++，熟练掌握数据结构和算法、熟悉STL，掌握OOA与OOD基本方法； 3. 熟悉软件工程原理，具有软件质量意识； 4. 熟练使用linux系统命令，熟悉Linux系统平台软件开发，具备Linux平台下C/C++/Python程序开发经验； 5. 熟悉TCP/IP网络编程，熟悉多线程开发； 6. 熟悉SQL Server、MySQL、Oracle数据库开发； 7. 具有较强的事业心、责任感以及良好的沟通表达能力和团队协作精神。
心像科技, C#高级软件工程师, 12-24万, 西安, 统招本科, 经验不限, 岗位职责： 1.负责对行业前沿资讯收集与整理，对新技术原理、方案进行全面深入分析； 2.负责快速学习研究新技术，形成新技术的开发能力； 3.负责对难点技术进行预研； 4.负责编写可行性新技术技术说明文档； 5.负责对相关部门进行可行性技术培训； 任职要求： 1.计算机等相关专业本科上学历； 2.在Revit、Skyline、手机App等开发有一定经验者优先； 3.在数据结构、几何算法等有一定经验者优先； 4.在人工智能、机器学习领域有一定实际经验的优先。 5.良好的沟通能力和团队协作能力； 6.能熟练地阅读英文文献和资料；
北京信诺瑞得信息技术有限公司, Linux C 软件开发工程师, 12-24万, 西安-高新区, 统招本科, 经验不限, 负责应用交付网关负载均衡功能的开发 基本要求： 熟练掌握Linux上C的开发 熟悉计算机网络原理 加分项： 熟悉NAT技术 熟悉TCP协议原理 熟悉SSL/TLS协议原理 熟悉HTTP协议原理 熟悉反向代理工作原理
心像科技, C#软件工程师, 9-18万, 西安, 本科及以上, 2年工作经验, 任职要求: 1、本科及以上学历，四年及以上C#开发经验，其中两年以上WPF开发经验； 2、熟练使用WPF，熟练编写WPF控件及前台样式，有Blend使用经验； 3、精通.Net技术体系，对MVC、MVP、MVVM架构有深入理解； 4、熟练使用Linq、Lambda表达式； 5、了解常用的设计模式，具有优秀的设计能力和编码能力，能够独立完成复杂的交互流程设计和实现； 6、具有大型项目开发经验，熟悉多层和分布式开发、性能优化； 7、有Android开发经验的优先；
圆益(西安)半导体科技有限公司, C/S工程师, 12-14万, 西安, 大专及以上, 1年工作经验, 半导体行业CVD/METAL工作经验，大专以上学历，电子电气专业，会韩语优先。 接受应届毕业生
西咸新区秦汉新城新丝路数字文化科技有限公司, C++开发工程师, 12-22万, 西安, 本科及以上, 3年工作经验, 岗位职责： 1. 负责客户端软件的产品开发和维护及代码重构； 2. 负责传输软件的开发、维护； 3. 对开发系统产生的需求和问题快速响应。  任职要求： 1. 精通C++编程技术，熟悉python，熟悉SQL Server、MySQL等数据库操作； 2. 精通tcp、udp编程，精通iocp、select、epoll等； 3. 熟悉windows/linux/Mac中的一种或多种，windows是必须项； 4. 熟悉文件或视频流传输优先； 5. 思路清晰，善于思考与沟通，良好的分析和独立解决问题的能力。
