COMPANY, JOB, SALARY, LOCALTION, EDUCATION, EXP, DISCRIPTION
加速云, Java软件研发工程师1, 6-12万, 西安, 统招本科, 经验不限, 职责描述： 1、参与和需求部门沟通，了解客户真实需求；参与系统程序的子系统、模块设计工作； 2、完成程序编码、测试和文档编写工作； 3、不断完善现有程序，丰富功能。 任职要求： 1、计算机科学或相关专业领域的本科及以上学历； 2、在计算机技术领域拥有扎实的技术功底，尤其在数据结构、算法和代码、软件设计方面功力深厚； 3、熟悉web 前端编程 ，熟悉HTML，CSS，XML，JavaScript，AJAX，jquery等技术； 4、熟练使用至少一种数据库（SqlServer，Oracle，Mysql，DB2等）； 5、熟悉Java，熟悉J2EE企业级开发流程和MVC框架. 具有SSH架构的开发经验；
江河瑞通科技集团有限公司, 中级Java开发工程师（工作地点在西安）, 6-8万, 西安, 本科及以上, 1年工作经验, 岗位职责： 熟悉sql编写，有使用过Oracle、SqlServer数据库系统.有数据模型设计经验优先； 熟练使用jquery、easyui等主流js框架.对于javascript有较深的认识.有dojo使用经验优先; 熟悉SpringMvc、MyBatis、Spring等主流框架； 熟练使用EclipseEE或其他主流开发工具，基于Maven进行多模块开发； 有Weblogic、Tomcat等使用、优化配置经验，对其他一些中间件有了解； 工作中使用过一些团队协作工具。  任职要求： 1、1年以上软件开发工作经验或相关专业优秀毕业生。 2、善于团队合作，有良好的沟通和表达能力； 3、学习、工作踏实认真，对工作认真负责； 4、有很强的自学能力，能够在短时间内掌握新技术。
软通动力技术服务有限公司分支机构, 高级Java研发工程师, 面议, 西安-高新区, 统招本科, 2年工作经验, 任职要求： 1.本科及以上学历，计算机相关专业毕业； 2.两年以上web前端或Java后台开发经验； 3.具备较强的学习能力和沟通表达能力；
文思海辉, java开发, 10-20万, 西安, 统招本科, 2年工作经验, 职责描述： 掌握Java语言开发，理解数据结构及算法； l 熟悉jQuery、Bootstrap等前端框架，熟悉FreeMarker； l 熟悉Spring 框架，精通WebService开发； l 熟悉D3.js、EChart数据可视化库，有数据可视化项目经验； l 精通HTML5、Javascript前端技术，具备Web前端开发经验； l 具备平台性能优化经验。  任职要求：统招二本及以上学历
软通动力技术服务西安, java开发工程师, 12-20万, 西安, 本科及以上, 2年工作经验, 1.全日制统招本科及以上学历，计算机、通信、电子及相关专业毕业，211院校毕业者优先考虑； 2.熟悉面向对象编程，具有良好的编码风格、习惯，了解软件开发流程； 3.具有3年以上java项目开发经验，熟练掌握java编码基础，对各种开源软件如Spring、Struts、hibemate等有深入了解者优先； 3.熟悉Oracle、Mysql等数据库； 4.愿意长期在西安发展； 4.积极热情、沟通能力强，有强烈的责任心，具有良好的团队合作精神和敬业精神。
北京政大教育科技有限公司, Java高级工程师, 14-22万, 西安-雁塔区, 本科及以上, 4年工作经验, 职位描述： 1、 系统平台架构设计、开发和优化； 2、 进行模块设计、核心代码开发，高质量完成项目； 3、 根据开发规范与流程完成应用系统的核心代码编写； 4、 参与技术难题攻关、组织技术积累等工作； 5、 协助产品经理与前端开发工程师，提升产品质量和用户体验。  任职要求: 1、五年及以上J2EE相关工作经验，本科学历，计算机或相关专业； 2、有扎实的JAVA基础功底，丰富的系统设计经验、优雅的代码风格； 3、熟练springboot/springcloud、springMVC、MyBatis等主流开源框架，理解其设计思路； 4、熟悉应用部署、能够熟练使用常见Linux命令、了解Tomcat等应用服务器； 5、熟悉Mysql，MongoDB、Redis、RabbitMQ队列等相关技术； 6、工作积极主动，有责任心，能够承担压力，并具有很强的分析能力和设计能力;
华为, Java工程师, 18-54万, 西安-高新区, 统招本科, 3年工作经验, 职责描述： 负责大数据集群管理平台软件需求分析，架构设计及核心代码编写  任职要求：  1、精通Java编程语言，数学Linux操作系统 2、熟悉Spring框架，Tomcat等常用web容器，了解restful、https等 3、有大型分布式管理系统软件架构、开发或维护经验，有业界常用的大数据管理平台软件经验优先 4、有大型分布式系统软件升级流程或补丁流程优先
思特沃克软件技术有限公司, Java/Ruby/C# 应用软件开发工程师, 面议, 西安, 学历不限, 经验不限, 你是否常常纠结于兴趣与职业发展如何取舍？或者根本不清楚应该怎么发展属于你的职业生涯？  你是否喜欢编程但又不敢确定编程这条路究竟能走多远？  如果你也同样的热爱代码如生命，喜欢有事没事就记录和分享自己的思考与实践，希望远离办公室政治，追求公平合理，追求成为一名优秀的程序猿，攻城狮。那无容置疑ThoughtWorks绝对适合你！  作为一家企业，ThoughtWorks不仅关注盈利，更不断追求世界领先的软件技术，并且凭借我们的技术与热情为世界的公平与正义做出贡献。  加入ThoughtWorks. 你将和一群Geeks(极客)在编码中一较高下！ 加入 ThoughtWorks.你将和世界顶尖的咨询师一起，享受在帮助客户解决棘手问题之后的快感！ 加入ThoughtWorks. 你将在不同国家、不同项目、不同技术中快速成长！ 加入ThoughtWorks. 你将与中国最优秀的技术社区领导者并肩作战！  加入ThoughtWorks. 你将有机会用自己的智慧和专业的技术能力帮助弱者！  不足的技术经验、不流利的英语，都不是阻止你成为ThoughtWorker与成长的关键。你积极上进的学习态度与能力将是你不断进取、融入ThoughtWorks的最好动力！ ThoughtWorks，一个牛人辈出、业界领先、关注社会平等的IT咨询公司，真诚邀请你的加入！   ThoughtWorks isn’t your average company. so we don’t hire average people.  We hire only the most talented. passionate people. Talented. driven and principled people who are passionate about software. brought together because they want to do something amazing. Amazing work for our clients is the front line. revolutionizing the way the industry works is a gradual effect. improving society through software is our long term goal.  Working with us you'll get to: • Join a global technology consultancy that wants to change the world • Introduce. use and grow agile development practices on a project. including continuous integration (Go. Jenkins etc) and behavior or test driven development practices (TDD) • Work on custom-designed. multi-tier. business applications that use the very latest technologies to build scalable and critical systems • Contribute and collaborate throughout the software development life cycle • Coach. mentor and generally spread the word about best practices in software development inside and outside ThoughtWorks community • Be part of an open and non-hierarchical environment where everyone is expected to speak up and collaborate in project and organizational directions • Work with an amazingly talented and diverse bunch of people from all around the world  To be considered for a role with us. you'll bring the following: • Passion about coding. Your idea of fun is probably to write an app in your spare time. be it a web 2.0 app or a shiny new framework to bring more fun to your daily activities • Development and delivery experience with Java. .NET. Ruby. iOS. or Android. Expect to show us a bit of your talent • Analysis. design. coding and implementation of large-scale custom-built OO applications • Keen to work collaboratively with intelligent people. sharing your ideas to solve real business problems • Strong communication skills with the ability to work in a consulting environment and build relationships  And we will really value if you have: • Strong knowledge of design patterns. refactoring and unit testing • Experience working with Agile methods. including Extreme Programming (XP). Scrum and/or Kanban • Experience with picking and applying good software practices like test driven development (TDD). continuous integration and continuous delivery • Active participation in the professional community as a speaker. author or online contributor
汇纳科技, JAVA项目经理, 面议, 西安, 本科及以上, 5年工作经验,  岗位职责： 1、负责需求分析、详细设计、编码实现和技术文档等工作，确保交付的质量、安全和性能； 2、负责web前端或服务器端软件开发、调试、自测和维护； 3、带领团队完成开发设计工作。 任职资格： 1) 5年以上JAVA开发经验，1年以上JAVA团队管理经验，熟练使用springmvc、mybatis等框架； 2）JAVA基础扎实，熟悉IO/NIO、多线程、集合等基础框架，对JVM原理有一定的了解； 3) 熟悉主流关系数据库MySQL、Oracle，有SQL调优经验优先； 4) 熟悉分布式缓存、消息队列等机制及常用中间件； 5）有团队管理经验者优先 6）具有数据产品可视化开发工作经验者优先，具有WEB报表开发、数据展现项目经验。
震有科技, Java开发工程师, 7-14万, 西安-高新区, 本科及以上, 2年工作经验, 职责描述： 1、能够在产品经理指导下，进行模块级的开发和测试工作 2、能根据需求和设计进行功能的开发； 3、能独立解决产品的问题，并主动优化产品的特性； 4、能完成技术文档的编写工作。  任职要求： 1、扎实的java知识和实际应用的能力，熟悉数据库知识，熟悉TCP/IP网络知识、网络基础知识扎实; 2、熟悉常用的设计模式，会使用UML构建工具； 3、熟悉IDE工具，良好的代码编写习惯，并有较强的学习能力和动手能力； 4、具有J2EE开发或者android开发的工作经验， 5、较强的语言表达能力和团队协作能力，积极主动。
