NAME, JOB, SALARY, LOCALTION, EDUCATION, EXP, DISCRIPTION
软通动力技术服务有限公司分支机构, 架构师（Python方向）, 面议, 西安-高新区, 本科及以上, 3年工作经验, 【岗位职责】 1、从事公有云安全服务、安全组件设计开发； 2、端到端交付特性，独立完成需求分析、模块设计已经软件开发和自检； 3、参与技术规划、方案设计，改进代码，提升代码质量和效率。  【岗位要求】 1、精通JAVA、Python、C/C++一种或者多种编程语言，熟悉数据库、数据结构、算法等，掌握软件工程、敏捷开发模型，熟练掌握和应用各种设计模式； 2、计算机、软件、信息安全等相关专业毕业。 3、计算机、软件、通信等相关专业毕业，本科及以上学历，2年以上开发经验。
北京中科物安科技有限公司, python高级开发工程师, 面议, 西安-高新区, 本科及以上, 2年工作经验, 1.熟悉python语言，有2年使用经验，熟悉常用的web框架如flask，django 2.熟悉redis. elasticsearch等nosql系统和关系型数据库如mysql 3.熟悉常用的python库，熟悉gvent优先，熟悉celery优先 4．熟悉常用的消息队列如kafka 或rabbitmq优先 5．对安全产品了解的优先 6．对高并发及大数据分析及分析工具了解的优先，对大数据挖掘及挖掘算法了解的优先。 7．对机器学习，深度学习算法了解的优先。 8．对teamcity. jenkins，ansimble等运维部署工具熟悉的优先。
智园软件, Python高级工程师, 16-31万, 西安, 本科及以上, 5年工作经验, 职位描述： 开发和维护公司的教育软件产品，主要基于B/S架构。 我们希望你： 有扎实的编程功底，热爱编程 有python相关技术栈开发经验，虽然在这里你将绝不会只用一种语言和技术编程 热爱且善于学习和钻研各种新技术、新语言 英语水平能够支撑自己及时获取和交流最新的技术信息 有良好的团队合作精神.有责任感.有较好的沟通能力 我们可以提供给你的是： 与国内最有经验的敏捷软件开发团队一起工作的机会，你将有机会采用最先进的技术，实践最极限的敏捷软件开发 结合领先的教育理念和技术，为改善教育行业做贡献
久耶供应链, 研发主管（python）, 10-17万, 西安-高新区, 统招本科, 5年工作经验, 1、负责参与软件项目周期的大部分工作，包括分析、设计、开发及后续部署运维等工作2、负责软件研发关键技术问题攻关、核心功能模块设计、核心代码开发； 3、负责软件系统重大bug跟进、性能优化、功能升级工作； 4、负责跟进程序员开发进度，审核程序员的设计及代码质量，确保项目进度和质量； 5、负责制定技术设计文档规范，对开发团队进行技术指导和培训；  岗位要求： 1. 本科及以上学历，计算机、软件工程、信息管理、计算机应用等理、工专业； 2. 5年以上Python开发经验. 3年以上python服务端开发经验； 3. 熟悉MVC架构，熟练掌握Python web开发框架，精通Flask或者其他Python Web开发框架者优先； 4. 具备数据库设计能力，精通掌握MySql者优先； 具备Linux环境、数据库、HTTP5 .Redis. MongoDB等后端开发基础，有RESTful服务构架和应用经验优先 6. 熟悉Linux操作系统，熟悉Apache/Ngnix等Web Server的部署和应用； 7. 有大型网络服务开发，在高并发，高稳定性方面有经验者优先； 8. 具有优秀的团队合作和沟通协作能力，善于学习，乐于分享，能承受较大工作压力 9.带领过软件研发团队经验者优先；
北京航天宏图信息技术股份有限公司, 算法开发工程师, 7-14万, 西安-长安区, 本科及以上, 经验不限, 岗位职责： 1、负责核心算法开发及实施工作； 2、负责系统模块的设计、编码、测试及部署； 3、负责产品/项目的架构设计，撰写相关技术文档； 4、分析并解决软件研发过程中的问题； 任职要求： 1、学历要求：本科及以上，遥感、图像处理、GIS相关专业学历硕士及以上； 2、熟悉遥感、图像处理及GIS等基础理论专业知识，熟悉遥感、图像处理、GIS在相关行业的应用，熟练使用遥感和GIS常用软件，如ENVI、ERDAS、PIE、ArcGIS等； 3、精通至少一种编程语言，如C/C++、C#、IDL、Python等 4、有相关ArcGIS、ENVI/IDL二次开发经验者优先。 5、熟悉软件研制流程，并了解软件工程思想
西安国际医学投资股份有限公司, 高级系统工程师, 12-18万, 西安-高新区, 本科及以上, 3年工作经验, 岗位职责： 1. 对数据中心设备（服务器、网络设备等）进行日常管理，保障服务稳定安全可用； 2. 负责服务器网络安全和数据安全的保障工作； 3. 研究数据中心基础设施架构.实施架构优化和性能改进工作； 4. 撰写技术文档，参与运维流程指定； 5、负责根据需求完成服务器/存储设备/软硬件平台搭建/维护/故障排除； 6、负责运算资源虚拟化的规划、设计、部署； 7、负责存储系统的架构规划、优化、设计及存储系统的日常管理维护工作；  8、负责运维公司服务器资源、存储、数据备份等设备，确保系统的高可用性和满足业务高速增长的需求； 9、负责规划公司私有云搭建，了解和研究相关领域的技术发展趋势和最新的解决方案； 10.协助部署、监控应用及数据库的日常运行。 任职要求： 1、计算机相关专业本科及以上，具有五年以上相关工作经验； 2、熟悉主流服务器管理运维，性能优化、故障排除； 3、熟悉主流中高端存储产品； 4、熟悉UNIX、Linux，熟悉至少一种脚本语言（Shell、PERL、Python等），能够搭建自动化运维平台； 5、熟悉了解Openstack技术，熟悉Vmware虚拟化平台，有VCP.RHCE等证书可加分； 6、同时熟悉Oracle、DB2等数据库的加分；有hadoop&spark等大数据技术体系运维经验者加分；  7、熟悉Apache、NginX、Mysql、FTP、DNS、Squid等常用服务的安装、配置和维护； 8. 熟悉常用的CDN、缓存、私有云的厂商产品和解决方案。 9、具有优秀的沟通协调能力和团队精神，能承受一定的工作压力。善于钻研思考，能独立分析和解决问题，具有良好的协调沟通、团队协作和创新能力。 15、热爱开源，喜欢折腾，有开源项目贡献者优先  任职要求：
北京中科物安科技有限公司, 中级Linux系统开发工程师, 16-26万, 西安-高新区, 本科及以上, 3年工作经验, 1. 全日制计算机或相关专业本科毕业，三年以上开发经验。 2. 精通C语言，具备良好的编码风格，精通设计模式，能熟练掌握用C实现OO的方法者尤佳。 3. 精通linux操作系统，熟悉多进程和多线程，熟悉网络子系统和驱动模型，熟练掌握gcc工具链。 4. 精通ash，bash，zsh等shell脚本语言，精通python或Perl者尤佳。 5. 精通TCP/IP协议栈，熟悉802.1q/ISL，熟悉DNP3.OPC DA，MODBUS等工业协议者尤佳。 6. 熟悉git版本控制工具。 7. 具有安全领域工作经验者优先。
文思海辉, Python开发工程师, 10-18万, 西安, 统招本科, 2年工作经验, 职位说明： 1、搭建系统开发环境，完成系统框架和核心代码的实现，负责解决开发过程中的技术问题； 2、负责Python技术的相关产品规划、需求、设计、开发、测试等研发工作。  任职资格： 1、计算机或相关专业毕业，3年以上开发经验； 2、熟悉Python编程、设计模式和组件技术； 3、熟悉Redis / MongoDB等NoSQL技术； 4、具备独立开发功能模块的能力； 5、逻辑思维清晰，能够独立承受工作压力。
西安逆袭网络科技有限公司, python开发工程师, 18-30万, 西安, 本科及以上, 3年工作经验, 职位描述：  1. 熟悉Python，掌握基本数据结构，熟悉标准数据库，认同Python设计理念；（编程语言） 2. 熟悉常见的Python框架，精通Tornado，flask，django优先；（服务框架） 3. 熟悉常见的数据库，熟练掌握PostgreSQL，Mongodb，Redis者优先（数据库） 4. 掌握Linux操作系统. 熟悉nginx. gunicorn； 5. 具有良好的编码习惯，文档书写习惯，优秀的团队合作和独立抗压能力，善于学习，乐于分享 6. 了解常见消息队列系统，RabbitMQ等 7、有大型管理后台及管理工具开发经验者优先
北京千锋互联科技, python讲师, 30-36万, 西安, 大专及以上, 经验不限, 一：岗位职责： 1、负责Python课程体系设计和完善； 2、负责Python课程爬虫、数据分析、网站开发的讲授； 3、完成领导交办的其它工作。 任职要求： 1. 至少2年以上Python编程经验； 2. 熟练运用Python语言及常用模块； 3. 熟练django等常用开发框架； 4. 熟练Mysql. oracle数据库中任何一种； 5. 熟练HTTP. Javascript. HTML。 6.熟练树莓派设备python开发 7.熟练python机器学习实战 8.精通Linux下Shell、Python两种脚本语言； 9.精通基于Linux应用程序的管理和配置，如Tomcat、Redis、Zookeeper、Jdk、Nginx、LVS、FastDFS、GFS等 分享 微信邮件
