name, job, salary, localtion, education, exp, discription
软通动力技术服务有限公司分支机构, 架构师（Python方向）, 面议, 西安-高新区, 本科及以上, 3年工作经验, 【岗位职责】 1、从事公有云安全服务、安全组件设计开发； 2、端到端交付特性，独立完成需求分析、模块设计已经软件开发和自检； 3、参与技术规划、方案设计，改进代码，提升代码质量和效率。  【岗位要求】 1、精通JAVA、Python、C/C++一种或者多种编程语言，熟悉数据库、数据结构、算法等，掌握软件工程、敏捷开发模型，熟练掌握和应用各种设计模式； 2、计算机、软件、信息安全等相关专业毕业。 3、计算机、软件、通信等相关专业毕业，本科及以上学历，2年以上开发经验。
文思海辉, Python开发工程师, 10-18万, 西安, 统招本科, 2年工作经验, 职位说明： 1、搭建系统开发环境，完成系统框架和核心代码的实现，负责解决开发过程中的技术问题； 2、负责Python技术的相关产品规划、需求、设计、开发、测试等研发工作。  任职资格： 1、计算机或相关专业毕业，3年以上开发经验； 2、熟悉Python编程、设计模式和组件技术； 3、熟悉Redis / MongoDB等NoSQL技术； 4、具备独立开发功能模块的能力； 5、逻辑思维清晰，能够独立承受工作压力。
西安逆袭网络科技有限公司, python开发工程师, 18-30万, 西安, 本科及以上, 3年工作经验, 职位描述：  1. 熟悉Python，掌握基本数据结构，熟悉标准数据库，认同Python设计理念；（编程语言） 2. 熟悉常见的Python框架，精通Tornado，flask，django优先；（服务框架） 3. 熟悉常见的数据库，熟练掌握PostgreSQL，Mongodb，Redis者优先（数据库） 4. 掌握Linux操作系统, 熟悉nginx, gunicorn； 5. 具有良好的编码习惯，文档书写习惯，优秀的团队合作和独立抗压能力，善于学习，乐于分享 6. 了解常见消息队列系统，RabbitMQ等 7、有大型管理后台及管理工具开发经验者优先
西安图迹信息科技有限公司, Python程序员, 5-7万, 西安, 本科及以上, 1年工作经验, 工作内容: 1.数据采集后台接口和计算后台作业开发。 2.维护软件使之保持可用性和稳定性。 3.和团队一起做数据进行统计、分析、挖掘，开发原型验证数学模型。 岗位要求： 1.熟悉Python语言，具备Python开发、调试经验。 2.掌握Flask、Tornado等Web框架；掌握Git的使用。 3.熟悉Python读写常见数据库的方法。 4.逻辑思维能力强，性格开朗，责任心强，工作积极主动；有良好的团队合作精神，有较强的沟通及协调能力；具备独发现问题和解决问题能力，自学能力强。 5.熟悉Python开发网络爬虫者优先；熟悉设计模式者优先；有撰写编码注释的习惯优先。
神州绿盟信息, 系统漏洞安全研究员（西安）, 12-18万, 西安-雁塔区, 本科及以上, 2年工作经验, 任职资格： 1、 本科及以上学历，2年及以上网络安全相关工作经验 2、 有Linux/Unix环境下的工作能力 3、 规范、严谨的C代码编写及调试能力 4、 至少熟练一种脚本语言（如：Python） 5、 TCP/IP及主要应用层协议的理解和分析能力 6、 对漏洞利用有一定理解和分析能力者优先 7、 爱好网络安全，并有研究和学习的兴趣 8、 具备一定的英文读写能力 工作职责： 职位工作内容简要综述：系统扫描插件研究员  工作职责： 1、 漏洞扫描插件开发工作 2、 漏洞利用或者攻击手法对应的扫描插件开发和协助测试 3、 系统插件相关反馈处理
神州绿盟信息, 工控安全研究员（西安）, 面议, 西安, 本科及以上, 3年工作经验, 职位工作内容简要综述： 1、研究工业控制系统安全相关课题； 2、承担工控安全产品技术支撑； 3、承担工控安全新产品技术预研。  岗位职责： 1、跟踪国内外工控系统安全事件； 2、研究前沿工控系统安全技术，分享研究成果； 3、通过逆向分析工控系统安全问题； 4、分析常见的工控通讯协议； 5、参与工控类新产品的预研，以及开发过程中的技术支撑。  任职要求： 1、工控软件开发与调试； 2、工控协议分析； 3、汇编语言，优先考虑工控系统汇编语言； 4、熟悉基础漏洞产生原因与利用原理； 5、linux系统的基础操作； 6、Python语言。
海尔家电产业集团-Uhome平台, 机器学习算法工程师（西安）, 面议, 西安-雁塔区, 统招本科, 3年工作经验, 岗位职责： 1、负责个性化推荐系统开发，实现相关大规模数据挖掘/机器学习算法； 2、参与设计和改进推荐引擎架构，提升在线推荐系统性能，稳定性，扩展性； 3、参与推荐策略设计，为推荐策略迭代提供高效和灵活的架构支撑； 4、跟踪互联网领域相关推荐和机器学习算法发展趋势，对前沿技术结合业务进行实验和落地；  任职要求： 1、有3年及以上的推荐系统、个性化搜索、广告引擎等相关领域较强的算法工作经验； 2、有Java，C++或Python等面向对象设计开发经验，具备较强的编码能力和扎实的数据结构和算法功底； 3、掌握运用Hadoop，Spark或MPI等开源平台和工具对大规模数据进行处理和计算； 4、熟悉常用的机器学习和数据挖掘算法，如分类，聚类，回归，协同过滤，内容过滤等，有大规模机器学习优化项目经验优先，有相关深度学习模型应用经验优先； 5、有大规模海量数据机器学习/数据挖掘/计算广告/搜索引擎相关经验优先； 6、具备良好的沟通和表达能力，有较好的产品意识。
智园软件, Python高级工程师, 16-31万, 西安, 本科及以上, 5年工作经验, 职位描述： 开发和维护公司的教育软件产品，主要基于B/S架构。 我们希望你： 有扎实的编程功底，热爱编程 有python相关技术栈开发经验，虽然在这里你将绝不会只用一种语言和技术编程 热爱且善于学习和钻研各种新技术、新语言 英语水平能够支撑自己及时获取和交流最新的技术信息 有良好的团队合作精神,有责任感,有较好的沟通能力 我们可以提供给你的是： 与国内最有经验的敏捷软件开发团队一起工作的机会，你将有机会采用最先进的技术，实践最极限的敏捷软件开发 结合领先的教育理念和技术，为改善教育行业做贡献
北京千锋互联科技, python讲师, 30-36万, 西安, 大专及以上, 经验不限, 一：岗位职责： 1、负责Python课程体系设计和完善； 2、负责Python课程爬虫、数据分析、网站开发的讲授； 3、完成领导交办的其它工作。 任职要求： 1. 至少2年以上Python编程经验； 2. 熟练运用Python语言及常用模块； 3. 熟练django等常用开发框架； 4. 熟练Mysql, oracle数据库中任何一种； 5. 熟练HTTP, Javascript, HTML。 6.熟练树莓派设备python开发 7.熟练python机器学习实战 8.精通Linux下Shell、Python两种脚本语言； 9.精通基于Linux应用程序的管理和配置，如Tomcat、Redis、Zookeeper、Jdk、Nginx、LVS、FastDFS、GFS等 分享 微信邮件
西安甄一创展网络科技有限公司, python开发, 18-36万, 西安-高新区, 统招本科, 3年工作经验, 职位描述： 1. 熟悉Python，掌握基本数据结构，熟悉标准数据库，认同Python设计理念；（编程语言） 2. 熟悉常见的Python框架，精通Tornado，flask，django优先；（服务框架） 3. 熟悉常见的数据库，熟练掌握PostgreSQL，Mongodb，Redis者优先（数据库） 4. 掌握Linux操作系统, 熟悉nginx, gunicorn； 5. 具有良好的编码习惯，文档书写习惯，优秀的团队合作和独立抗压能力，善于学习，乐于分享 6. 了解常见消息队列系统，RabbitMQ等
